"filename", "language", "TypeScript", "TypeScript JSX", "SCSS", "CSS", "XML", "comment", "blank", "total"
"c:\Users\mack1\OneDrive\Рабочий стол\i.development\flows\src\app\(routing)\flows\archive\page.tsx", "TypeScript JSX", 0, 9, 0, 0, 0, 0, 3, 12
"c:\Users\mack1\OneDrive\Рабочий стол\i.development\flows\src\app\(routing)\flows\choice\page.tsx", "TypeScript JSX", 0, 9, 0, 0, 0, 0, 3, 12
"c:\Users\mack1\OneDrive\Рабочий стол\i.development\flows\src\app\(routing)\flows\create\full\page.tsx", "TypeScript JSX", 0, 9, 0, 0, 0, 0, 3, 12
"c:\Users\mack1\OneDrive\Рабочий стол\i.development\flows\src\app\(routing)\flows\create\small\page.tsx", "TypeScript JSX", 0, 9, 0, 0, 0, 0, 3, 12
"c:\Users\mack1\OneDrive\Рабочий стол\i.development\flows\src\app\(routing)\flows\my\comment\id\page.tsx", "TypeScript JSX", 0, 4, 0, 0, 0, 0, 2, 6
"c:\Users\mack1\OneDrive\Рабочий стол\i.development\flows\src\app\(routing)\flows\my\page.tsx", "TypeScript JSX", 0, 9, 0, 0, 0, 0, 3, 12
"c:\Users\mack1\OneDrive\Рабочий стол\i.development\flows\src\app\(routing)\flows\view\[id]\page.tsx", "TypeScript JSX", 0, 9, 0, 0, 0, 0, 3, 12
"c:\Users\mack1\OneDrive\Рабочий стол\i.development\flows\src\app\(routing)\layout.tsx", "TypeScript JSX", 0, 19, 0, 0, 0, 0, 3, 22
"c:\Users\mack1\OneDrive\Рабочий стол\i.development\flows\src\app\(routing)\mycompany\news\page.tsx", "TypeScript JSX", 0, 9, 0, 0, 0, 0, 2, 11
"c:\Users\mack1\OneDrive\Рабочий стол\i.development\flows\src\app\(routing)\mycompany\rating\page.tsx", "TypeScript JSX", 0, 9, 0, 0, 0, 0, 4, 13
"c:\Users\mack1\OneDrive\Рабочий стол\i.development\flows\src\app\(routing)\post\[id]\page.tsx", "TypeScript JSX", 0, 9, 0, 0, 0, 0, 4, 13
"c:\Users\mack1\OneDrive\Рабочий стол\i.development\flows\src\app\(routing)\profile\page.tsx", "TypeScript JSX", 0, 8, 0, 0, 0, 0, 2, 10
"c:\Users\mack1\OneDrive\Рабочий стол\i.development\flows\src\app\favicon.svg", "XML", 0, 0, 0, 0, 8, 0, 1, 9
"c:\Users\mack1\OneDrive\Рабочий стол\i.development\flows\src\app\globals.scss", "SCSS", 0, 0, 33, 0, 0, 0, 6, 39
"c:\Users\mack1\OneDrive\Рабочий стол\i.development\flows\src\app\layout.tsx", "TypeScript JSX", 0, 15, 0, 0, 0, 0, 3, 18
