Date : 2024-02-04 19:23:10
Directory : c:\Users\mack1\OneDrive\Рабочий стол\i.development\flows\src
Total : 257 files,  5557 codes, 24 comments, 627 blanks, all 6208 lines

Languages
+----------------+------------+------------+------------+------------+------------+
| language       | files      | code       | comment    | blank      | total      |
+----------------+------------+------------+------------+------------+------------+
| TypeScript JSX |         87 |      3,444 |         19 |        304 |      3,767 |
| SCSS           |         57 |      1,141 |          0 |        163 |      1,304 |
| TypeScript     |        103 |        856 |          5 |        159 |      1,020 |
| CSS            |          9 |        108 |          0 |          0 |        108 |
| XML            |          1 |          8 |          0 |          1 |          9 |
+----------------+------------+------------+------------+------------+------------+

Directories
+-------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                | files      | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                   |        257 |      5,557 |         24 |        627 |      6,208 |
| app                                                                                                                                 |         16 |        173 |          0 |         48 |        221 |
| app (Files)                                                                                                                         |          4 |         61 |          0 |         13 |         74 |
| app\(routing)                                                                                                                       |         12 |        112 |          0 |         35 |        147 |
| app\(routing) (Files)                                                                                                               |          1 |         19 |          0 |          3 |         22 |
| app\(routing)\flows                                                                                                                 |          7 |         58 |          0 |         20 |         78 |
| app\(routing)\flows\archive                                                                                                         |          1 |          9 |          0 |          3 |         12 |
| app\(routing)\flows\choice                                                                                                          |          1 |          9 |          0 |          3 |         12 |
| app\(routing)\flows\create                                                                                                          |          2 |         18 |          0 |          6 |         24 |
| app\(routing)\flows\create\full                                                                                                     |          1 |          9 |          0 |          3 |         12 |
| app\(routing)\flows\create\small                                                                                                    |          1 |          9 |          0 |          3 |         12 |
| app\(routing)\flows\my                                                                                                              |          2 |         13 |          0 |          5 |         18 |
| app\(routing)\flows\my (Files)                                                                                                      |          1 |          9 |          0 |          3 |         12 |
| app\(routing)\flows\my\comment                                                                                                      |          1 |          4 |          0 |          2 |          6 |
| app\(routing)\flows\my\comment\id                                                                                                   |          1 |          4 |          0 |          2 |          6 |
| app\(routing)\flows\view                                                                                                            |          1 |          9 |          0 |          3 |         12 |
| app\(routing)\flows\view\[id]                                                                                                       |          1 |          9 |          0 |          3 |         12 |
| app\(routing)\mycompany                                                                                                             |          2 |         18 |          0 |          6 |         24 |
| app\(routing)\mycompany\news                                                                                                        |          1 |          9 |          0 |          2 |         11 |
| app\(routing)\mycompany\rating                                                                                                      |          1 |          9 |          0 |          4 |         13 |
| app\(routing)\post                                                                                                                  |          1 |          9 |          0 |          4 |         13 |
| app\(routing)\post\[id]                                                                                                             |          1 |          9 |          0 |          4 |         13 |
| app\(routing)\profile                                                                                                               |          1 |          8 |          0 |          2 |         10 |
| entities                                                                                                                            |         59 |        927 |          1 |        126 |      1,054 |
| entities\authForm-slice                                                                                                             |          6 |         97 |          0 |         10 |        107 |
| entities\authForm-slice\formHelpers                                                                                                 |          3 |         42 |          0 |          4 |         46 |
| entities\authForm-slice\formHelpers (Files)                                                                                         |          1 |          1 |          0 |          0 |          1 |
| entities\authForm-slice\formHelpers\ui                                                                                              |          2 |         41 |          0 |          4 |         45 |
| entities\authForm-slice\formInputs                                                                                                  |          3 |         55 |          0 |          6 |         61 |
| entities\authForm-slice\formInputs (Files)                                                                                          |          1 |          1 |          0 |          0 |          1 |
| entities\authForm-slice\formInputs\ui                                                                                               |          2 |         54 |          0 |          6 |         60 |
| entities\flowView-slice                                                                                                             |         32 |        463 |          0 |         70 |        533 |
| entities\flowView-slice\buttons                                                                                                     |         19 |        283 |          0 |         42 |        325 |
| entities\flowView-slice\buttons\approve                                                                                             |          4 |         56 |          0 |          9 |         65 |
| entities\flowView-slice\buttons\approve (Files)                                                                                     |          1 |          1 |          0 |          1 |          2 |
| entities\flowView-slice\buttons\approve\api                                                                                         |          1 |         10 |          0 |          1 |         11 |
| entities\flowView-slice\buttons\approve\ui                                                                                          |          2 |         45 |          0 |          7 |         52 |
| entities\flowView-slice\buttons\change                                                                                              |          3 |         25 |          0 |          6 |         31 |
| entities\flowView-slice\buttons\change (Files)                                                                                      |          1 |          1 |          0 |          1 |          2 |
| entities\flowView-slice\buttons\change\ui                                                                                           |          2 |         24 |          0 |          5 |         29 |
| entities\flowView-slice\buttons\coment                                                                                              |          2 |         30 |          0 |          5 |         35 |
| entities\flowView-slice\buttons\coment (Files)                                                                                      |          1 |          1 |          0 |          1 |          2 |
| entities\flowView-slice\buttons\coment\ui                                                                                           |          1 |         29 |          0 |          4 |         33 |
| entities\flowView-slice\buttons\delete                                                                                              |          6 |        120 |          0 |         12 |        132 |
| entities\flowView-slice\buttons\delete (Files)                                                                                      |          1 |          1 |          0 |          1 |          2 |
| entities\flowView-slice\buttons\delete\modal                                                                                        |          3 |         91 |          0 |          6 |         97 |
| entities\flowView-slice\buttons\delete\modal (Files)                                                                                |          1 |          1 |          0 |          1 |          2 |
| entities\flowView-slice\buttons\delete\modal\ui                                                                                     |          2 |         90 |          0 |          5 |         95 |
| entities\flowView-slice\buttons\delete\ui                                                                                           |          2 |         28 |          0 |          5 |         33 |
| entities\flowView-slice\buttons\download                                                                                            |          4 |         52 |          0 |         10 |         62 |
| entities\flowView-slice\buttons\download (Files)                                                                                    |          1 |          1 |          0 |          1 |          2 |
| entities\flowView-slice\buttons\download\api                                                                                        |          1 |         10 |          0 |          2 |         12 |
| entities\flowView-slice\buttons\download\ui                                                                                         |          2 |         41 |          0 |          7 |         48 |
| entities\flowView-slice\flowDocumentItem                                                                                            |          6 |         70 |          0 |         14 |         84 |
| entities\flowView-slice\flowDocumentItem\date                                                                                       |          3 |         52 |          0 |          6 |         58 |
| entities\flowView-slice\flowDocumentItem\date (Files)                                                                               |          1 |          1 |          0 |          1 |          2 |
| entities\flowView-slice\flowDocumentItem\date\ui                                                                                    |          2 |         51 |          0 |          5 |         56 |
| entities\flowView-slice\flowDocumentItem\title                                                                                      |          3 |         18 |          0 |          8 |         26 |
| entities\flowView-slice\flowDocumentItem\title (Files)                                                                              |          1 |          1 |          0 |          1 |          2 |
| entities\flowView-slice\flowDocumentItem\title\ui                                                                                   |          2 |         17 |          0 |          7 |         24 |
| entities\flowView-slice\flowGraphDate                                                                                               |          3 |         23 |          0 |          3 |         26 |
| entities\flowView-slice\flowGraphDate (Files)                                                                                       |          1 |          1 |          0 |          1 |          2 |
| entities\flowView-slice\flowGraphDate\ui                                                                                            |          2 |         22 |          0 |          2 |         24 |
| entities\flowView-slice\flowGraphTitle                                                                                              |          4 |         87 |          0 |         11 |         98 |
| entities\flowView-slice\flowGraphTitle (Files)                                                                                      |          1 |          1 |          0 |          1 |          2 |
| entities\flowView-slice\flowGraphTitle\model                                                                                        |          1 |         41 |          0 |          5 |         46 |
| entities\flowView-slice\flowGraphTitle\ui                                                                                           |          2 |         45 |          0 |          5 |         50 |
| entities\header-slice                                                                                                               |          8 |        204 |          1 |         26 |        231 |
| entities\header-slice\api                                                                                                           |          1 |         10 |          0 |          2 |         12 |
| entities\header-slice\data                                                                                                          |          1 |         30 |          1 |          3 |         34 |
| entities\header-slice\header                                                                                                        |          3 |         91 |          0 |          9 |        100 |
| entities\header-slice\header (Files)                                                                                                |          1 |          1 |          0 |          1 |          2 |
| entities\header-slice\header\ui                                                                                                     |          2 |         90 |          0 |          8 |         98 |
| entities\header-slice\sideHeader                                                                                                    |          3 |         73 |          0 |         12 |         85 |
| entities\header-slice\sideHeader (Files)                                                                                            |          1 |          1 |          0 |          1 |          2 |
| entities\header-slice\sideHeader\ui                                                                                                 |          2 |         72 |          0 |         11 |         83 |
| entities\news-slice                                                                                                                 |          4 |         93 |          0 |         14 |        107 |
| entities\news-slice\article                                                                                                         |          4 |         93 |          0 |         14 |        107 |
| entities\news-slice\article (Files)                                                                                                 |          1 |          1 |          0 |          0 |          1 |
| entities\news-slice\article\api                                                                                                     |          1 |         10 |          0 |          2 |         12 |
| entities\news-slice\article\ui                                                                                                      |          2 |         82 |          0 |         12 |         94 |
| entities\profile-slice                                                                                                              |          9 |         70 |          0 |          6 |         76 |
| entities\profile-slice\achievementItem                                                                                              |          3 |         33 |          0 |          1 |         34 |
| entities\profile-slice\achievementItem (Files)                                                                                      |          1 |          1 |          0 |          0 |          1 |
| entities\profile-slice\achievementItem\ui                                                                                           |          2 |         32 |          0 |          1 |         33 |
| entities\profile-slice\achievementProgressBar                                                                                       |          3 |         31 |          0 |          2 |         33 |
| entities\profile-slice\achievementProgressBar (Files)                                                                               |          1 |          1 |          0 |          0 |          1 |
| entities\profile-slice\achievementProgressBar\ui                                                                                    |          2 |         30 |          0 |          2 |         32 |
| entities\profile-slice\userLogo                                                                                                     |          3 |          6 |          0 |          3 |          9 |
| entities\profile-slice\userLogo (Files)                                                                                             |          1 |          1 |          0 |          0 |          1 |
| entities\profile-slice\userLogo\ui                                                                                                  |          2 |          5 |          0 |          3 |          8 |
| features                                                                                                                            |         37 |      1,199 |          1 |        120 |      1,320 |
| features\authForm-slice                                                                                                             |          4 |        160 |          0 |         12 |        172 |
| features\authForm-slice\authForm                                                                                                    |          4 |        160 |          0 |         12 |        172 |
| features\authForm-slice\authForm (Files)                                                                                            |          1 |          1 |          0 |          0 |          1 |
| features\authForm-slice\authForm\api                                                                                                |          1 |         20 |          0 |          2 |         22 |
| features\authForm-slice\authForm\ui                                                                                                 |          2 |        139 |          0 |         10 |        149 |
| features\flowView-slice                                                                                                             |         12 |        274 |          0 |         35 |        309 |
| features\flowView-slice\flowDocumentView                                                                                            |          4 |        127 |          0 |         15 |        142 |
| features\flowView-slice\flowDocumentView (Files)                                                                                    |          1 |          1 |          0 |          1 |          2 |
| features\flowView-slice\flowDocumentView\api                                                                                        |          1 |         19 |          0 |          3 |         22 |
| features\flowView-slice\flowDocumentView\ui                                                                                         |          2 |        107 |          0 |         11 |        118 |
